culmen_depth_mm,species,body_mass_g,sex
18.7,Adelie,3750,MALE
17.4,Adelie,3800,FEMALE
18,Adelie,3250,FEMALE
19.3,Adelie,3450,FEMALE
20.6,Adelie,3650,MALE
17.8,Adelie,3625,FEMALE
19.6,Adelie,4675,MALE
17.6,Adelie,3200,FEMALE
21.2,Adelie,3800,MALE
21.1,Adelie,4400,MALE
17.8,Adelie,3700,FEMALE
19,Adelie,3450,FEMALE
20.7,Adelie,4500,MALE
18.4,Adelie,3325,FEMALE
21.5,Adelie,4200,MALE
18.3,Adelie,3400,FEMALE
18.7,Adelie,3600,MALE
19.2,Adelie,3800,FEMALE
18.1,Adelie,3950,MALE
17.2,Adelie,3800,MALE
18.9,Adelie,3800,FEMALE
18.6,Adelie,3550,MALE
17.9,Adelie,3200,FEMALE
18.6,Adelie,3150,FEMALE
18.9,Adelie,3950,MALE
16.7,Adelie,3250,FEMALE
18.1,Adelie,3900,MALE
17.8,Adelie,3300,FEMALE
18.9,Adelie,3900,MALE
17,Adelie,3325,FEMALE
21.1,Adelie,4150,MALE
20,Adelie,3950,MALE
18.5,Adelie,3550,FEMALE
19.3,Adelie,3300,FEMALE
19.1,Adelie,4650,MALE
18,Adelie,3150,FEMALE
18.4,Adelie,3900,MALE
18.5,Adelie,3100,FEMALE
19.7,Adelie,4400,MALE
16.9,Adelie,3000,FEMALE
18.8,Adelie,4600,MALE
19,Adelie,3425,MALE
17.9,Adelie,3450,FEMALE
21.2,Adelie,4150,MALE
17.7,Adelie,3500,FEMALE
18.9,Adelie,4300,MALE
17.9,Adelie,3450,FEMALE
19.5,Adelie,4050,MALE
18.1,Adelie,2900,FEMALE
18.6,Adelie,3700,MALE
17.5,Adelie,3550,FEMALE
18.8,Adelie,3800,MALE
16.6,Adelie,2850,FEMALE
19.1,Adelie,3750,MALE
16.9,Adelie,3150,FEMALE
21.1,Adelie,4400,MALE
17,Adelie,3600,FEMALE
18.2,Adelie,4050,MALE
17.1,Adelie,2850,FEMALE
18,Adelie,3950,MALE
16.2,Adelie,3350,FEMALE
19.1,Adelie,4100,MALE
16.6,Adelie,3050,FEMALE
19.4,Adelie,4450,MALE
19,Adelie,3600,FEMALE
18.4,Adelie,3900,MALE
17.2,Adelie,3550,FEMALE
18.9,Adelie,4150,MALE
17.5,Adelie,3700,FEMALE
18.5,Adelie,4250,MALE
16.8,Adelie,3700,FEMALE
19.4,Adelie,3900,MALE
16.1,Adelie,3550,FEMALE
19.1,Adelie,4000,MALE
17.2,Adelie,3200,FEMALE
17.6,Adelie,4700,MALE
18.8,Adelie,3800,FEMALE
19.4,Adelie,4200,MALE
17.8,Adelie,3350,FEMALE
20.3,Adelie,3550,MALE
19.5,Adelie,3800,MALE
18.6,Adelie,3500,FEMALE
19.2,Adelie,3950,MALE
18.8,Adelie,3600,FEMALE
18,Adelie,3550,FEMALE
18.1,Adelie,4300,MALE
17.1,Adelie,3400,FEMALE
18.1,Adelie,4450,MALE
17.3,Adelie,3300,FEMALE
18.9,Adelie,4300,MALE
18.6,Adelie,3700,FEMALE
18.5,Adelie,4350,MALE
16.1,Adelie,2900,FEMALE
18.5,Adelie,4100,MALE
17.9,Adelie,3725,FEMALE
20,Adelie,4725,MALE
16,Adelie,3075,FEMALE
20,Adelie,4250,MALE
18.6,Adelie,2925,FEMALE
18.9,Adelie,3550,MALE
17.2,Adelie,3750,FEMALE
20,Adelie,3900,MALE
17,Adelie,3175,FEMALE
19,Adelie,4775,MALE
16.5,Adelie,3825,FEMALE
20.3,Adelie,4600,MALE
17.7,Adelie,3200,FEMALE
19.5,Adelie,4275,MALE
20.7,Adelie,3900,FEMALE
18.3,Adelie,4075,MALE
17,Adelie,2900,FEMALE
20.5,Adelie,3775,MALE
17,Adelie,3350,FEMALE
18.6,Adelie,3325,MALE
17.2,Adelie,3150,FEMALE
19.8,Adelie,3500,MALE
17,Adelie,3450,FEMALE
18.5,Adelie,3875,MALE
15.9,Adelie,3050,FEMALE
19,Adelie,4000,MALE
17.6,Adelie,3275,FEMALE
18.3,Adelie,4300,MALE
17.1,Adelie,3050,FEMALE
18,Adelie,4000,MALE
17.9,Adelie,3325,FEMALE
19.2,Adelie,3500,MALE
18.5,Adelie,3500,FEMALE
18.5,Adelie,4475,MALE
17.6,Adelie,3425,FEMALE
17.5,Adelie,3900,MALE
17.5,Adelie,3175,FEMALE
20.1,Adelie,3975,MALE
16.5,Adelie,3400,FEMALE
17.9,Adelie,4250,MALE
17.1,Adelie,3400,FEMALE
17.2,Adelie,3475,MALE
15.5,Adelie,3050,FEMALE
17,Adelie,3725,MALE
16.8,Adelie,3000,FEMALE
18.7,Adelie,3650,MALE
18.6,Adelie,4250,MALE
18.4,Adelie,3475,FEMALE
17.8,Adelie,3450,FEMALE
18.1,Adelie,3750,MALE
17.1,Adelie,3700,FEMALE
18.5,Adelie,4000,MALE
